bfs_nr,commune_ofs,canton,join_key,premium_region,log_pop_density,pop_density_2024,is_urban,pct_hh_1p,pct_hh_2p,pct_hh_3p,pct_hh_4p,pct_hh_5p_plus,pct_large_hh,pct_small_hh,social_assistance_rate,social_assistance_count,avg_premium_2025,avg_premium_2026,median_premium_2026,std_premium_2026,p10_premium_2026,p90_premium_2026,iqr_premium_2026,n_insurers_2026,premium_increase_pct,n_insurers_change,sa_estimated,sa_count_est
5827,Trey,VD,VD_H2,2,4.441474093317302,83.9,0.0,35.1,28.2,12.2,14.5,9.9,24.4,63.3,2.7,8.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5828,Treytorrens (Payerne),VD,VD_H2,2,3.5890591188317256,35.2,0.0,28.3,37.0,10.9,21.7,2.2,23.9,65.3,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5830,Villarzel,VD,VD_H2,2,4.238444906195857,68.3,0.0,29.0,31.9,11.9,19.5,7.6,27.1,60.9,1.4,7.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5831,Valbroye,VD,VD_H2,2,4.635699391022914,102.1,0.0,32.7,31.7,14.3,13.5,7.8,21.3,64.4,3.7,126.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5841,Château-d'Oex,VD,VD_H2,2,3.4995332823830174,32.1,0.0,41.8,29.5,12.5,10.1,6.1,16.2,71.3,0.8,27.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5842,Rossinière,VD,VD_H2,2,3.109060958860994,21.4,0.0,35.2,32.9,10.6,13.0,8.3,21.3,68.1,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5843,Rougemont,VD,VD_H2,2,2.8735646395797834,16.7,0.0,47.6,32.0,9.2,6.4,4.7,11.100000000000001,79.6,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5851,Allaman,VD,VD_H1,1,5.110782242701195,164.8,0.0,27.3,38.3,15.8,13.1,5.5,18.6,65.6,1.7,7.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5852,Bursinel,VD,VD_H1,1,5.703449085754963,298.9,0.0,25.8,31.6,14.8,20.6,7.2,27.8,57.400000000000006,1.5,0.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5853,Bursins,VD,VD_H1,1,5.491001710377538,241.5,0.0,30.4,30.7,18.0,16.5,4.3,20.8,61.099999999999994,2.3,18.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5854,Burtigny,VD,VD_H1,1,4.2710950739666,70.6,0.0,31.6,28.4,15.5,14.8,9.7,24.5,60.0,1.5,0.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5855,Dully,VD,VD_H1,1,5.937536205082426,378.0,0.0,23.9,33.7,18.1,15.6,8.6,24.2,57.6,0.0,0.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,0,0
5856,Essertines-sur-Rolle,VD,VD_H1,1,4.735320870453137,112.9,0.0,24.6,28.1,17.4,21.0,8.9,29.9,52.7,0.8,6.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5857,Gilly,VD,VD_H1,1,5.2295030505476765,185.7,0.0,30.2,32.1,17.1,15.8,4.7,20.5,62.3,0.4,6.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5858,Luins,VD,VD_H1,1,5.472690753492817,237.1,0.0,28.9,33.8,14.4,17.9,4.9,22.799999999999997,62.699999999999996,1.9,12.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5859,Mont-sur-Rolle,VD,VD_H1,1,6.570882962339584,713.0,0.0,27.7,29.0,17.6,19.4,6.3,25.7,56.7,1.0,29.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5860,Perroy,VD,VD_H1,1,6.298029706561264,542.5,0.0,30.8,32.0,15.8,15.4,6.0,21.4,62.8,1.2,19.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5861,Rolle,VD,VD_H1,1,7.774519575705891,2378.2,1.0,34.0,31.1,15.9,14.2,4.8,19.0,65.1,1.9,123.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5862,Tartegnin,VD,VD_H1,1,5.37805233456689,215.6,0.0,25.5,33.0,20.2,16.0,5.3,21.3,58.5,0.0,0.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,0,0
5863,Vinzel,VD,VD_H1,1,5.865901324132636,351.8,0.0,26.9,37.7,16.8,15.0,3.6,18.6,64.6,0.0,0.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,0,0
5871,L'Abbaye,VD,VD_H2,2,3.899950424193877,48.4,0.0,42.0,34.2,9.0,10.2,4.5,14.7,76.2,3.4,52.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5872,Le Chenit,VD,VD_H2,2,3.8897773964808264,47.9,0.0,42.8,30.7,12.1,9.4,5.1,14.5,73.5,3.0,140.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5873,Le Lieu,VD,VD_H2,2,3.374168709274236,28.2,0.0,40.3,30.8,11.0,11.9,6.1,18.0,71.1,3.3,30.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5882,Chardonne,VD,VD_H1,1,5.7829016791088,323.7,0.0,36.0,34.2,15.9,10.5,3.5,14.0,70.2,1.5,49.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5883,Corseaux,VD,VD_H1,1,7.691519827125696,2188.7,1.0,33.9,37.6,13.0,11.4,4.0,15.4,71.5,2.4,56.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5884,Corsier-sur-Vevey,VD,VD_H1,1,6.22098770538623,502.2,0.0,39.6,29.4,14.7,11.0,5.2,16.2,69.0,4.6,158.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5885,Jongny,VD,VD_H1,1,6.795258247754991,892.6,0.0,27.5,35.6,16.3,15.3,5.3,20.6,63.1,0.7,14.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5886,Montreux,VD,VD_H1,1,6.694314503129313,806.8,0.0,45.2,28.9,12.4,9.0,4.4,13.4,74.1,7.3,1971.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5889,La Tour-de-Peilz,VD,VD_H1,1,8.276674563917938,3930.1,1.0,41.4,29.5,13.9,10.9,4.2,15.100000000000001,70.9,5.1,638.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5890,Vevey,VD,VD_H1,1,9.035212875762468,8392.5,1.0,47.4,27.2,12.4,9.4,3.7,13.100000000000001,74.6,8.2,1652.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5891,Veytaux,VD,VD_H1,1,5.038898759369115,153.3,0.0,52.1,27.2,9.1,7.6,4.0,11.6,79.3,7.7,77.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5892,Blonay - Saint-Légier,VD,VD_H1,1,5.9909644220663,398.8,0.0,29.2,31.7,15.5,18.1,5.6,23.700000000000003,60.9,1.3,165.0,662.3,678.1,677.6,38.8,629.3,726.5,49.3,21.0,2.39,-2.0,1,1
5902,Belmont-sur-Yverdon,VD,VD_H2,2,4.2456340097683265,68.8,0.0,28.6,29.1,14.8,24.2,3.3,27.5,57.7,1.4,6.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5903,Bioley-Magnoux,VD,VD_H2,2,4.109233174715851,59.9,0.0,29.9,33.6,10.3,19.6,6.5,26.1,63.5,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5904,Chamblon,VD,VD_H2,2,5.271459912378154,193.7,0.0,28.3,36.7,16.2,16.2,2.5,18.7,65.0,1.3,7.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5905,Champvent,VD,VD_H2,2,4.396915247167632,80.2,0.0,23.7,32.9,19.1,16.3,8.1,24.4,56.599999999999994,1.6,12.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5907,Chavannes-le-Chêne,VD,VD_H2,2,4.400603020246817,80.5,0.0,38.3,37.0,7.8,11.7,5.2,16.9,75.3,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5908,Chêne-Pâquier,VD,VD_H2,2,4.418840607796598,82.0,0.0,23.4,31.3,15.6,14.1,15.6,29.7,54.7,0.0,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,0,0
5909,Cheseaux-Noréaz,VD,VD_H2,2,4.819474788635096,122.9,0.0,17.0,36.2,15.5,25.5,5.9,31.4,53.2,2.0,15.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5910,Cronay,VD,VD_H2,2,4.185098925490565,64.7,0.0,29.7,34.1,15.9,15.4,4.9,20.3,63.8,1.5,6.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5911,Cuarny,VD,VD_H2,2,3.9871304779149512,52.9,0.0,29.5,35.2,13.3,20.0,1.9,21.9,64.7,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5912,Démoret,VD,VD_H2,2,3.7232808808312687,40.4,0.0,23.3,47.9,12.3,5.5,11.0,16.5,71.2,0.0,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,0,0
5913,Donneloye,VD,VD_H2,2,4.631812116934513,101.7,0.0,26.9,33.2,14.4,15.2,10.2,25.4,60.1,2.5,23.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5914,Ependes (VD),VD,VD_H2,2,4.379523504455763,78.8,0.0,34.7,30.5,13.2,16.8,4.8,21.6,65.2,3.0,12.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5919,Mathod,VD,VD_H2,2,4.709530201312334,110.0,0.0,29.4,33.1,12.8,17.2,7.4,24.6,62.5,2.2,16.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5921,Molondin,VD,VD_H2,2,3.912023005428146,49.0,0.0,25.5,36.8,11.3,16.0,10.4,26.4,62.3,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5922,Montagny-près-Yverdon,VD,VD_H2,2,5.4053764388414445,221.6,0.0,28.5,31.7,15.4,18.9,5.4,24.299999999999997,60.2,1.1,8.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5923,Oppens,VD,VD_H2,2,4.044804116661965,56.1,0.0,29.7,28.4,14.9,14.9,12.2,27.1,58.099999999999994,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5924,Orges,VD,VD_H2,2,4.66814498514948,105.5,0.0,29.4,32.9,12.4,17.6,7.6,25.200000000000003,62.3,3.8,16.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5925,Orzens,VD,VD_H2,2,3.9512437185814275,51.0,0.0,30.2,37.5,15.6,12.5,4.2,16.7,67.7,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5926,Pomy,VD,VD_H2,2,5.055608659738987,155.9,0.0,19.0,35.0,16.0,21.8,8.3,30.1,54.0,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5928,Rovray,VD,VD_H2,2,4.120661870539474,60.6,0.0,25.3,40.5,11.4,8.9,13.9,22.8,65.8,0.0,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,0,0
5929,Suchy,VD,VD_H2,2,4.613138355637268,99.8,0.0,25.6,31.3,16.4,21.8,5.0,26.8,56.900000000000006,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5930,Suscévaz,VD,VD_H2,2,4.048300623720694,56.3,0.0,26.4,33.3,9.2,16.1,14.9,31.0,59.699999999999996,4.9,11.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5931,Treycovagnes,VD,VD_H2,2,5.515845179076611,247.6,0.0,25.9,32.3,15.4,19.4,7.0,26.4,58.199999999999996,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5932,Ursins,VD,VD_H2,2,4.248495242049359,69.0,0.0,23.4,37.2,22.3,9.6,7.4,17.0,60.6,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5933,Valeyres-sous-Montagny,VD,VD_H2,2,5.740114403903592,310.1,0.0,29.7,35.6,15.0,15.7,3.9,19.599999999999998,65.3,2.9,20.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5934,Valeyres-sous-Ursins,VD,VD_H2,2,4.417635062141249,81.9,0.0,34.3,33.3,9.8,17.6,4.9,22.5,67.6,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5935,Villars-Epeney,VD,VD_H2,2,4.841032509710076,125.6,0.0,24.4,22.0,34.1,7.3,12.2,19.5,46.4,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5937,Vugelles-La Mothe,VD,VD_H2,2,3.883623530906448,47.6,0.0,35.0,28.3,15.0,11.7,10.0,21.7,63.3,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5938,Yverdon-les-Bains,VD,VD_H2,2,7.712712134594088,2235.6,1.0,41.8,28.1,13.0,11.5,5.6,17.1,69.9,7.7,2338.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5939,Yvonand,VD,VD_H2,2,5.574432802628352,262.6,0.0,36.4,29.8,13.0,14.6,6.1,20.7,66.2,4.5,159.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
